b_4k_6k,b_6k_8k,b_8k_11k,b_11k_16k,b_16k_up,sr,file,environment,label
0.05768469721078873,0.03347545489668846,0.02802862785756588,0.013576923869550228,0.0041578528471291065,48000,happy_1.wav,cafe,happy
0.044178251177072525,0.02688084915280342,0.02407255955040455,0.016362113878130913,0.008688830770552158,48000,stressed_13.wav,outside,stressed
0.045053839683532715,0.04331229254603386,0.034776173532009125,0.01783379167318344,0.007811501156538725,48000,happy_21.wav,outside,happy
0.04760998860001564,0.032213736325502396,0.030226431787014008,0.016234951093792915,0.00823885202407837,48000,happy_20.wav,outside,happy
0.03218207135796547,0.03210671246051788,0.02414802461862564,0.017363719642162323,0.008173057809472084,48000,happy_19.wav,outside,happy
0.028282135725021362,0.013647736981511116,0.017875133082270622,0.012728377245366573,0.005622672848403454,48000,happy_18.wav,outside,happy
0.04324411228299141,0.043604832142591476,0.025444652885198593,0.017594775184988976,0.007958405651152134,48000,happy_17.wav,outside,happy
0.048304859548807144,0.036715831607580185,0.027102379128336906,0.016324015334248543,0.0069481427781283855,48000,happy_16.wav,outside,happy
0.06092730537056923,0.043869372457265854,0.03364243730902672,0.02117294631898403,0.011085310950875282,48000,happy_15.wav,outside,happy
0.050695378333330154,0.021255120635032654,0.023081481456756592,0.016238264739513397,0.006766024976968765,48000,happy_14.wav,outside,happy
0.03365911543369293,0.04173411428928375,0.031135043129324913,0.013798872008919716,0.008614483289420605,48000,happy_13.wav,outside,happy
0.039675187319517136,0.024899840354919434,0.028456231579184532,0.021517494693398476,0.0075575378723442554,48000,tired_59.wav,cafe,tired
0.04077139124274254,0.02282221056520939,0.03379185125231743,0.02518572099506855,0.008779887109994888,48000,tired_58.wav,cafe,tired
0.02704791910946369,0.016803588718175888,0.02758873626589775,0.026507219299674034,0.009161492809653282,48000,tired_57.wav,cafe,tired
0.03075134940445423,0.01672869361937046,0.028139397501945496,0.02270585484802723,0.00797024741768837,48000,tired_56.wav,cafe,tired
0.05039820447564125,0.026789667084813118,0.04870116338133812,0.0468241386115551,0.014783580787479877,48000,tired_55.wav,cafe,tired
0.07303681969642639,0.033723536878824234,0.042172595858573914,0.03263968229293823,0.011628547683358192,48000,tired_54.wav,cafe,tired
0.04651964083313942,0.02537393942475319,0.039769772440195084,0.029241042211651802,0.009891029447317123,48000,tired_53.wav,cafe,tired
0.03966645896434784,0.025636008009314537,0.03620703145861626,0.027069369331002235,0.010144324041903019,48000,tired_52.wav,cafe,tired
0.043791066855192184,0.0252742450684309,0.033594775944948196,0.024044526740908623,0.008564031682908535,48000,tired_51.wav,cafe,tired
0.07390955835580826,0.042121522128582,0.055490680038928986,0.04720509424805641,0.014295308850705624,48000,tired_50.wav,cafe,tired
0.11371437460184097,0.043018970638513565,0.0353398434817791,0.013105739839375019,0.0048522306606173515,48000,tired_4.wav,cafe,tired
0.049357809126377106,0.03620322048664093,0.03796091303229332,0.026624668389558792,0.011415908113121986,48000,happy_13.wav,cafe,happy
